method_name,base_method,time_s,pair_count,recall,k,itopk_size,n_probes,n_clusters,k_db_candidates
brute_force,brute_force,39.63850631600144,13875,,,,,,
centroid_join_nc1024_kdb16384,centroid_join,4.268879252000261,13871,0.9997117117117117,,,,1024,16384
centroid_join_nc1024_kdb2048,centroid_join,3.166334931000165,8394,0.6049729729729729,,,,1024,2048
centroid_join_nc1024_kdb32768,centroid_join,6.511302798999168,13875,1.0,,,,1024,32768
centroid_join_nc1024_kdb4096,centroid_join,3.835205790001055,11872,0.8556396396396396,,,,1024,4096
centroid_join_nc1024_kdb8192,centroid_join,3.996571593999761,13871,0.9997117117117117,,,,1024,8192
centroid_join_nc128_kdb16384,centroid_join,2.2367054909991566,13853,0.9984144144144144,,,,128,16384
centroid_join_nc128_kdb2048,centroid_join,1.1933163850007986,2203,0.15877477477477478,,,,128,2048
centroid_join_nc128_kdb32768,centroid_join,4.070990685999277,13866,0.9993513513513513,,,,128,32768
centroid_join_nc128_kdb4096,centroid_join,1.146957372999168,5271,0.3798918918918919,,,,128,4096
centroid_join_nc128_kdb8192,centroid_join,1.4581512969998585,10809,0.779027027027027,,,,128,8192
centroid_join_nc2048_kdb16384,centroid_join,7.354140142000688,13874,0.999927927927928,,,,2048,16384
centroid_join_nc2048_kdb2048,centroid_join,5.1315427199988335,8424,0.6071351351351352,,,,2048,2048
centroid_join_nc2048_kdb32768,centroid_join,8.356575722000343,13875,1.0,,,,2048,32768
centroid_join_nc2048_kdb4096,centroid_join,6.484867936000228,12509,0.9015495495495496,,,,2048,4096
centroid_join_nc2048_kdb8192,centroid_join,5.8550159049991635,13872,0.9997837837837837,,,,2048,8192
centroid_join_nc256_kdb16384,centroid_join,2.772332049000397,13865,0.9992792792792793,,,,256,16384
centroid_join_nc256_kdb2048,centroid_join,1.3477716029992735,8290,0.5974774774774775,,,,256,2048
centroid_join_nc256_kdb32768,centroid_join,6.537479625998458,13871,0.9997117117117117,,,,256,32768
centroid_join_nc256_kdb4096,centroid_join,1.510770823000712,11757,0.8473513513513513,,,,256,4096
centroid_join_nc256_kdb8192,centroid_join,1.9800674569996772,13848,0.998054054054054,,,,256,8192
centroid_join_nc512_kdb16384,centroid_join,3.603767152000728,13869,0.9995675675675676,,,,512,16384
centroid_join_nc512_kdb2048,centroid_join,2.1268693019992497,8346,0.6015135135135136,,,,512,2048
centroid_join_nc512_kdb32768,centroid_join,6.619946134000202,13875,1.0,,,,512,32768
centroid_join_nc512_kdb4096,centroid_join,2.352864653999859,11869,0.8554234234234234,,,,512,4096
centroid_join_nc512_kdb8192,centroid_join,2.45613336399947,13856,0.9986306306306306,,,,512,8192
cuvs_cagra_k16_itopk128,cuvs_cagra,23.97341839100045,13578,0.9785945945945946,16,128,,,
cuvs_cagra_k16_itopk16,cuvs_cagra,18.75398569200115,13578,0.9785945945945946,16,16,,,
cuvs_cagra_k16_itopk32,cuvs_cagra,19.338742894999086,13578,0.9785945945945946,16,32,,,
cuvs_cagra_k16_itopk64,cuvs_cagra,20.977574136999465,13579,0.9786666666666667,16,64,,,
cuvs_cagra_k32_itopk128,cuvs_cagra,23.923224673000732,13873,0.9998558558558559,32,128,,,
cuvs_cagra_k32_itopk32,cuvs_cagra,19.481291856000098,13871,0.9997117117117117,32,32,,,
cuvs_cagra_k32_itopk64,cuvs_cagra,20.915561200999946,13873,0.9998558558558559,32,64,,,
cuvs_cagra_k64_itopk128,cuvs_cagra,23.953114395999364,13875,1.0,64,128,,,
cuvs_cagra_k64_itopk64,cuvs_cagra,21.051604979998956,13875,1.0,64,64,,,
cuvs_ivf_flat_k16_np16,cuvs_ivf_flat,14.404105863999575,13579,0.9786666666666667,16,,16,,
cuvs_ivf_flat_k16_np2,cuvs_ivf_flat,2.4564499160005653,13512,0.9738378378378378,16,,2,,
cuvs_ivf_flat_k16_np20,cuvs_ivf_flat,17.818726613000763,13578,0.9785945945945946,16,,20,,
cuvs_ivf_flat_k16_np32,cuvs_ivf_flat,27.8987161870009,13578,0.9785945945945946,16,,32,,
cuvs_ivf_flat_k16_np4,cuvs_ivf_flat,4.103620194999166,13579,0.9786666666666667,16,,4,,
cuvs_ivf_flat_k16_np8,cuvs_ivf_flat,7.592888417999347,13579,0.9786666666666667,16,,8,,
cuvs_ivf_flat_k32_np16,cuvs_ivf_flat,14.428320170000006,13873,0.9998558558558559,32,,16,,
cuvs_ivf_flat_k32_np2,cuvs_ivf_flat,2.3576726319988666,13791,0.993945945945946,32,,2,,
cuvs_ivf_flat_k32_np20,cuvs_ivf_flat,17.829042888000913,13873,0.9998558558558559,32,,20,,
cuvs_ivf_flat_k32_np32,cuvs_ivf_flat,27.94705355199949,13873,0.9998558558558559,32,,32,,
cuvs_ivf_flat_k32_np4,cuvs_ivf_flat,4.101237756000046,13873,0.9998558558558559,32,,4,,
cuvs_ivf_flat_k32_np8,cuvs_ivf_flat,7.581460645000334,13873,0.9998558558558559,32,,8,,
cuvs_ivf_flat_k64_np16,cuvs_ivf_flat,14.432384937001189,13875,1.0,64,,16,,
cuvs_ivf_flat_k64_np2,cuvs_ivf_flat,2.3559040050004114,13810,0.9953153153153154,64,,2,,
cuvs_ivf_flat_k64_np20,cuvs_ivf_flat,17.813506500000585,13875,1.0,64,,20,,
cuvs_ivf_flat_k64_np32,cuvs_ivf_flat,27.967266014000415,13875,1.0,64,,32,,
cuvs_ivf_flat_k64_np4,cuvs_ivf_flat,4.132360740000877,13875,1.0,64,,4,,
cuvs_ivf_flat_k64_np8,cuvs_ivf_flat,7.5845802660005575,13875,1.0,64,,8,,
