method_name,base_method,time_s,pair_count,recall,k,itopk_size,n_lists,n_probes,n_clusters,k_db_candidates
brute_force,brute_force,38.828834539977834,413228,,,,,,,
centroid_join_nc1024_kdb1024,centroid_join,3.304909703991143,209152,0.5061418877713998,,,,,1024,1024
centroid_join_nc1024_kdb16384,centroid_join,4.275650805007899,413224,0.9999903201138355,,,,,1024,16384
centroid_join_nc1024_kdb2048,centroid_join,3.3053169889899436,293701,0.7107480616027956,,,,,1024,2048
centroid_join_nc1024_kdb32768,centroid_join,5.691932834015461,413228,1.0,,,,,1024,32768
centroid_join_nc1024_kdb4096,centroid_join,3.3013603670115117,374101,0.9053137735100235,,,,,1024,4096
centroid_join_nc1024_kdb8192,centroid_join,3.664789758011466,413214,0.9999661203984241,,,,,1024,8192
centroid_join_nc128_kdb1024,centroid_join,1.3898345360066742,26940,0.06519403331816818,,,,,128,1024
centroid_join_nc128_kdb16384,centroid_join,3.0236245270061772,413191,0.999910461052978,,,,,128,16384
centroid_join_nc128_kdb2048,centroid_join,0.958330699999351,81491,0.1972059008586059,,,,,128,2048
centroid_join_nc128_kdb32768,centroid_join,6.143011568987276,413216,0.9999709603415063,,,,,128,32768
centroid_join_nc128_kdb4096,centroid_join,1.2101443950086832,185352,0.4485465650923945,,,,,128,4096
centroid_join_nc128_kdb8192,centroid_join,1.679776311997557,342911,0.829834861142033,,,,,128,8192
centroid_join_nc2048_kdb1024,centroid_join,5.676008278998779,211443,0.5116860425721393,,,,,2048,1024
centroid_join_nc2048_kdb16384,centroid_join,7.33033930399688,413228,1.0,,,,,2048,16384
centroid_join_nc2048_kdb2048,centroid_join,5.674715044995537,308768,0.7472097728130718,,,,,2048,2048
centroid_join_nc2048_kdb32768,centroid_join,8.76058179300162,413228,1.0,,,,,2048,32768
centroid_join_nc2048_kdb4096,centroid_join,5.744116154994117,390160,0.9441760964891053,,,,,2048,4096
centroid_join_nc2048_kdb8192,centroid_join,6.831372692977311,413221,0.999983060199212,,,,,2048,8192
centroid_join_nc256_kdb1024,centroid_join,1.457785687991418,209886,0.5079181468825926,,,,,256,1024
centroid_join_nc256_kdb16384,centroid_join,3.5166002289915923,413209,0.9999540205407185,,,,,256,16384
centroid_join_nc256_kdb2048,centroid_join,1.5557304589892738,293733,0.7108255006921118,,,,,256,2048
centroid_join_nc256_kdb32768,centroid_join,5.81152670001029,413224,0.9999903201138355,,,,,256,32768
centroid_join_nc256_kdb4096,centroid_join,1.8430147219914943,373523,0.9039150299592477,,,,,256,4096
centroid_join_nc256_kdb8192,centroid_join,2.4069505520164967,413158,0.9998306019921206,,,,,256,8192
centroid_join_nc512_kdb1024,centroid_join,2.110944690008182,209220,0.506306445836197,,,,,512,1024
centroid_join_nc512_kdb16384,centroid_join,4.308023809979204,413220,0.999980640227671,,,,,512,16384
centroid_join_nc512_kdb2048,centroid_join,2.247514537011739,293863,0.7111400969924594,,,,,512,2048
centroid_join_nc512_kdb32768,centroid_join,6.335747208009707,413226,0.9999951600569177,,,,,512,32768
centroid_join_nc512_kdb4096,centroid_join,2.4065611090045422,374067,0.905231494477625,,,,,512,4096
